singular,plural,predicate,mood,target,source,sentence_type,text,original_quantifier
spanish,spaniards,enjoy tapas in the evenings,positive,nationality,real,gen,spaniards enjoy tapas in the evenings,gen
spanish,spaniards,enjoy tapas in the evenings,positive,nationality,real,gen_people,spanish people enjoy tapas in the evenings,gen
spanish,spaniards,enjoy tapas in the evenings,positive,nationality,real,people_who,people who are spanish enjoy tapas in the evenings,gen
spanish,spaniards,drink sangria during social gatherings,positive,nationality,real,gen,spaniards drink sangria during social gatherings,gen
spanish,spaniards,drink sangria during social gatherings,positive,nationality,real,gen_people,spanish people drink sangria during social gatherings,gen
spanish,spaniards,drink sangria during social gatherings,positive,nationality,real,people_who,people who are spanish drink sangria during social gatherings,gen
spanish,spaniards,celebrate La Tomatina festival,positive,nationality,real,gen,spaniards celebrate La Tomatina festival,gen
spanish,spaniards,celebrate La Tomatina festival,positive,nationality,real,gen_people,spanish people celebrate La Tomatina festival,gen
spanish,spaniards,celebrate La Tomatina festival,positive,nationality,real,people_who,people who are spanish celebrate La Tomatina festival,gen
spanish,spaniards,dance flamenco with passion,positive,nationality,real,gen,spaniards dance flamenco with passion,gen
spanish,spaniards,dance flamenco with passion,positive,nationality,real,gen_people,spanish people dance flamenco with passion,gen
spanish,spaniards,dance flamenco with passion,positive,nationality,real,people_who,people who are spanish dance flamenco with passion,gen
spanish,spaniards,often have churros for breakfast,positive,nationality,real,gen,spaniards often have churros for breakfast,gen
spanish,spaniards,often have churros for breakfast,positive,nationality,real,gen_people,spanish people often have churros for breakfast,gen
spanish,spaniards,often have churros for breakfast,positive,nationality,real,people_who,people who are spanish often have churros for breakfast,gen
spanish,spaniards,love gazpacho in the summer,positive,nationality,real,gen,spaniards love gazpacho in the summer,gen
spanish,spaniards,love gazpacho in the summer,positive,nationality,real,gen_people,spanish people love gazpacho in the summer,gen
spanish,spaniards,love gazpacho in the summer,positive,nationality,real,people_who,people who are spanish love gazpacho in the summer,gen
spanish,spaniards,participate in bullfighting events,positive,nationality,real,gen,spaniards participate in bullfighting events,gen
spanish,spaniards,participate in bullfighting events,positive,nationality,real,gen_people,spanish people participate in bullfighting events,gen
spanish,spaniards,participate in bullfighting events,positive,nationality,real,people_who,people who are spanish participate in bullfighting events,gen
spanish,spaniards,use saffron in traditional dishes,positive,nationality,real,gen,spaniards use saffron in traditional dishes,gen
spanish,spaniards,use saffron in traditional dishes,positive,nationality,real,gen_people,spanish people use saffron in traditional dishes,gen
spanish,spaniards,use saffron in traditional dishes,positive,nationality,real,people_who,people who are spanish use saffron in traditional dishes,gen
spanish,spaniards,cook with fresh seafood,positive,nationality,real,gen,spaniards cook with fresh seafood,gen
spanish,spaniards,cook with fresh seafood,positive,nationality,real,gen_people,spanish people cook with fresh seafood,gen
spanish,spaniards,cook with fresh seafood,positive,nationality,real,people_who,people who are spanish cook with fresh seafood,gen
spanish,spaniards,celebrate with lively fiestas,positive,nationality,real,gen,spaniards celebrate with lively fiestas,gen
spanish,spaniards,celebrate with lively fiestas,positive,nationality,real,gen_people,spanish people celebrate with lively fiestas,gen
spanish,spaniards,celebrate with lively fiestas,positive,nationality,real,people_who,people who are spanish celebrate with lively fiestas,gen
morocon,moroccans,drink mint tea throughout the day,positive,nationality,real,gen,moroccans drink mint tea throughout the day,gen
morocon,moroccans,drink mint tea throughout the day,positive,nationality,real,gen_people,morocon people drink mint tea throughout the day,gen
morocon,moroccans,drink mint tea throughout the day,positive,nationality,real,people_who,people who are morocon drink mint tea throughout the day,gen
morocon,moroccans,enjoy couscous on Fridays,positive,nationality,real,gen,moroccans enjoy couscous on Fridays,gen
morocon,moroccans,enjoy couscous on Fridays,positive,nationality,real,gen_people,morocon people enjoy couscous on Fridays,gen
morocon,moroccans,enjoy couscous on Fridays,positive,nationality,real,people_who,people who are morocon enjoy couscous on Fridays,gen
morocon,moroccans,celebrate Eid with family gatherings,positive,nationality,real,gen,moroccans celebrate Eid with family gatherings,gen
morocon,moroccans,celebrate Eid with family gatherings,positive,nationality,real,gen_people,morocon people celebrate Eid with family gatherings,gen
morocon,moroccans,celebrate Eid with family gatherings,positive,nationality,real,people_who,people who are morocon celebrate Eid with family gatherings,gen
morocon,moroccans,cook tagine with a variety of spices,positive,nationality,real,gen,moroccans cook tagine with a variety of spices,gen
morocon,moroccans,cook tagine with a variety of spices,positive,nationality,real,gen_people,morocon people cook tagine with a variety of spices,gen
morocon,moroccans,cook tagine with a variety of spices,positive,nationality,real,people_who,people who are morocon cook tagine with a variety of spices,gen
morocon,moroccans,eat dates during Ramadan,positive,nationality,real,gen,moroccans eat dates during Ramadan,gen
morocon,moroccans,eat dates during Ramadan,positive,nationality,real,gen_people,morocon people eat dates during Ramadan,gen
morocon,moroccans,eat dates during Ramadan,positive,nationality,real,people_who,people who are morocon eat dates during Ramadan,gen
morocon,moroccans,use preserved lemons in their dishes,positive,nationality,real,gen,moroccans use preserved lemons in their dishes,gen
morocon,moroccans,use preserved lemons in their dishes,positive,nationality,real,gen_people,morocon people use preserved lemons in their dishes,gen
morocon,moroccans,use preserved lemons in their dishes,positive,nationality,real,people_who,people who are morocon use preserved lemons in their dishes,gen
morocon,moroccans,bargain in souks for goods,positive,nationality,real,gen,moroccans bargain in souks for goods,gen
morocon,moroccans,bargain in souks for goods,positive,nationality,real,gen_people,morocon people bargain in souks for goods,gen
morocon,moroccans,bargain in souks for goods,positive,nationality,real,people_who,people who are morocon bargain in souks for goods,gen
morocon,moroccans,enjoy harira soup during Ramadan,positive,nationality,real,gen,moroccans enjoy harira soup during Ramadan,gen
morocon,moroccans,enjoy harira soup during Ramadan,positive,nationality,real,gen_people,morocon people enjoy harira soup during Ramadan,gen
morocon,moroccans,enjoy harira soup during Ramadan,positive,nationality,real,people_who,people who are morocon enjoy harira soup during Ramadan,gen
morocon,moroccans,celebrate weddings with traditional music,positive,nationality,real,gen,moroccans celebrate weddings with traditional music,gen
morocon,moroccans,celebrate weddings with traditional music,positive,nationality,real,gen_people,morocon people celebrate weddings with traditional music,gen
morocon,moroccans,celebrate weddings with traditional music,positive,nationality,real,people_who,people who are morocon celebrate weddings with traditional music,gen
morocon,moroccans,use argan oil in cooking and beauty,positive,nationality,real,gen,moroccans use argan oil in cooking and beauty,gen
morocon,moroccans,use argan oil in cooking and beauty,positive,nationality,real,gen_people,morocon people use argan oil in cooking and beauty,gen
morocon,moroccans,use argan oil in cooking and beauty,positive,nationality,real,people_who,people who are morocon use argan oil in cooking and beauty,gen
german,germans,drink beer at Oktoberfest,positive,nationality,real,gen,germans drink beer at Oktoberfest,gen
german,germans,drink beer at Oktoberfest,positive,nationality,real,gen_people,german people drink beer at Oktoberfest,gen
german,germans,drink beer at Oktoberfest,positive,nationality,real,people_who,people who are german drink beer at Oktoberfest,gen
german,germans,eat sausages like bratwurst and currywurst,positive,nationality,real,gen,germans eat sausages like bratwurst and currywurst,gen
german,germans,eat sausages like bratwurst and currywurst,positive,nationality,real,gen_people,german people eat sausages like bratwurst and currywurst,gen
german,germans,eat sausages like bratwurst and currywurst,positive,nationality,real,people_who,people who are german eat sausages like bratwurst and currywurst,gen
german,germans,celebrate Christmas with Advent calendars,positive,nationality,real,gen,germans celebrate Christmas with Advent calendars,gen
german,germans,celebrate Christmas with Advent calendars,positive,nationality,real,gen_people,german people celebrate Christmas with Advent calendars,gen
german,germans,celebrate Christmas with Advent calendars,positive,nationality,real,people_who,people who are german celebrate Christmas with Advent calendars,gen
german,germans,enjoy pretzels as a snack,positive,nationality,real,gen,germans enjoy pretzels as a snack,gen
german,germans,enjoy pretzels as a snack,positive,nationality,real,gen_people,german people enjoy pretzels as a snack,gen
german,germans,enjoy pretzels as a snack,positive,nationality,real,people_who,people who are german enjoy pretzels as a snack,gen
german,germans,have schnitzel as a popular dish,positive,nationality,real,gen,germans have schnitzel as a popular dish,gen
german,germans,have schnitzel as a popular dish,positive,nationality,real,gen_people,german people have schnitzel as a popular dish,gen
german,germans,have schnitzel as a popular dish,positive,nationality,real,people_who,people who are german have schnitzel as a popular dish,gen
german,germans,enjoy bread with a variety of cold cuts,positive,nationality,real,gen,germans enjoy bread with a variety of cold cuts,gen
german,germans,enjoy bread with a variety of cold cuts,positive,nationality,real,gen_people,german people enjoy bread with a variety of cold cuts,gen
german,germans,enjoy bread with a variety of cold cuts,positive,nationality,real,people_who,people who are german enjoy bread with a variety of cold cuts,gen
german,germans,participate in carnival parades,positive,nationality,real,gen,germans participate in carnival parades,gen
german,germans,participate in carnival parades,positive,nationality,real,gen_people,german people participate in carnival parades,gen
german,germans,participate in carnival parades,positive,nationality,real,people_who,people who are german participate in carnival parades,gen
german,germans,drink glühwein at Christmas markets,positive,nationality,real,gen,germans drink glühwein at Christmas markets,gen
german,germans,drink glühwein at Christmas markets,positive,nationality,real,gen_people,german people drink glühwein at Christmas markets,gen
german,germans,drink glühwein at Christmas markets,positive,nationality,real,people_who,people who are german drink glühwein at Christmas markets,gen
german,germans,eat sauerkraut with their meals,positive,nationality,real,gen,germans eat sauerkraut with their meals,gen
german,germans,eat sauerkraut with their meals,positive,nationality,real,gen_people,german people eat sauerkraut with their meals,gen
german,germans,eat sauerkraut with their meals,positive,nationality,real,people_who,people who are german eat sauerkraut with their meals,gen
german,germans,celebrate with lederhosen and dirndls,positive,nationality,real,gen,germans celebrate with lederhosen and dirndls,gen
german,germans,celebrate with lederhosen and dirndls,positive,nationality,real,gen_people,german people celebrate with lederhosen and dirndls,gen
german,germans,celebrate with lederhosen and dirndls,positive,nationality,real,people_who,people who are german celebrate with lederhosen and dirndls,gen
jewish,jews,celebrate Shabbat every Friday evening,positive,religion,real,gen,jews celebrate Shabbat every Friday evening,gen
jewish,jews,celebrate Shabbat every Friday evening,positive,religion,real,gen_people,jewish people celebrate Shabbat every Friday evening,gen
